transaction_id,timestamp,payer_vpa,payee_vpa,amount,category,status,ref_no
UPI24235725,2026-08-10T19:16:55.377Z,customer_6641@upi,pradeepbansal@okaxis,5000,electronics_hardware,SUCCESS,REF455000
UPI51210648,2026-03-23T19:16:55.377Z,mukeshchatterjee@okaxis,customer_9470@upi,8500,services,SUCCESS,REF192573
UPI43162422,2026-08-16T19:16:55.377Z,customer_3381@upi,sanjaysen@okaxis,2500,auto_ancillary,SUCCESS,REF427137
UPI53146604,2026-08-16T19:16:55.377Z,pranavshetty@okaxis,customer_6678@upi,15000,food_processing,SUCCESS,REF255914
UPI30885416,2026-05-15T19:16:55.377Z,customer_3334@upi,vikasreddy@okaxis,8500,plastics_packaging,SUCCESS,REF642793
UPI52767746,2026-05-30T19:16:55.377Z,customer_1987@upi,sanjaymishra@okaxis,500,retail,SUCCESS,REF118329
UPI71849151,2026-06-09T19:16:55.377Z,customer_1944@upi,subhashghosh@okaxis,2500,pharma_distribution,SUCCESS,REF979745
UPI87851851,2026-08-26T19:16:55.377Z,customer_1176@upi,harishmishra@okaxis,48000,auto_ancillary,SUCCESS,REF790929
UPI17164737,2026-05-07T19:16:55.377Z,karankulkarni@okaxis,customer_1323@upi,2500,services,SUCCESS,REF682438
UPI72843364,2026-07-31T19:16:55.377Z,customer_9689@upi,prakashtrivedi@okaxis,15000,food_processing,SUCCESS,REF751493
UPI34609953,2026-08-15T19:16:55.377Z,customer_2248@upi,subhashiyer@okaxis,5000,services,SUCCESS,REF561983
UPI18853395,2026-06-23T19:16:55.377Z,customer_9638@upi,rahulchauhan@okaxis,500,auto_ancillary,SUCCESS,REF244463
UPI48629243,2026-08-07T19:16:55.377Z,customer_2164@upi,rajeshreddy@okaxis,5000,auto_ancillary,SUCCESS,REF396157
UPI43659722,2026-04-27T19:16:55.377Z,customer_5799@upi,rameshpillai@okaxis,75000,manufacturing,SUCCESS,REF780952
UPI50333719,2026-05-07T19:16:55.377Z,customer_8181@upi,jagdishjha@okaxis,2500,electronics_hardware,SUCCESS,REF529405
UPI81706790,2026-07-16T19:16:55.377Z,customer_5617@upi,ajaynair@okaxis,5000,fmcg_wholesale,SUCCESS,REF738738
UPI17501157,2026-04-11T19:16:55.377Z,nitinbose@okaxis,customer_2079@upi,8500,textile,SUCCESS,REF472839
UPI14105709,2026-06-29T19:16:55.377Z,customer_5204@upi,pranavdeshmukh@okaxis,25000,services,SUCCESS,REF562264
UPI74576003,2026-06-09T19:16:55.377Z,customer_1300@upi,vikasjha@okaxis,48000,manufacturing,SUCCESS,REF804236
UPI38634259,2026-07-15T19:16:55.377Z,chetankhan@okaxis,customer_8338@upi,75000,retail,SUCCESS,REF462642
UPI82669367,2026-06-17T19:16:55.377Z,bhavnabansal@okaxis,customer_8957@upi,5000,auto_ancillary,SUCCESS,REF268040
UPI19736882,2026-05-04T19:16:55.377Z,customer_6462@upi,umeshswaminathan@okaxis,5000,plastics_packaging,SUCCESS,REF517650
UPI99559027,2026-08-25T19:16:55.377Z,customer_5826@upi,subhashpillai@okaxis,2500,fmcg_wholesale,SUCCESS,REF675362
UPI68524691,2026-04-17T19:16:55.377Z,customer_9688@upi,vikasgupta@okaxis,2500,plastics_packaging,SUCCESS,REF471732
UPI89689429,2026-04-13T19:16:55.377Z,customer_2353@upi,snehamishra@okaxis,500,pharma_distribution,SUCCESS,REF703981
UPI12775462,2026-08-26T19:16:55.377Z,customer_2794@upi,tarunyadav@okaxis,2500,plastics_packaging,SUCCESS,REF135999
UPI54171682,2026-07-11T19:16:55.377Z,customer_6648@upi,vikramagarwal@okaxis,1200,services,SUCCESS,REF198341
UPI96933641,2026-04-23T19:16:55.377Z,customer_6223@upi,jagdishbansal@okaxis,25000,pharma_distribution,SUCCESS,REF388229
UPI40783564,2026-08-02T19:16:55.377Z,rameshbansal@okaxis,customer_7490@upi,500,services,SUCCESS,REF569552
UPI32110339,2026-03-18T19:16:55.377Z,customer_8088@upi,kavitachopra@okaxis,75000,auto_ancillary,SUCCESS,REF272866
UPI33969521,2026-06-17T19:16:55.377Z,customer_8323@upi,manishprasad@okaxis,5000,retail,SUCCESS,REF395393
UPI86083333,2026-06-30T19:16:55.377Z,mukeshchatterjee@okaxis,customer_1166@upi,2500,services,SUCCESS,REF101022
UPI84840663,2026-05-17T19:16:55.377Z,customer_4257@upi,kavitachopra@okaxis,25000,auto_ancillary,SUCCESS,REF620308
UPI73297067,2026-04-13T19:16:55.377Z,nehashetty@okaxis,customer_7901@upi,48000,electronics_hardware,SUCCESS,REF650474
UPI51174768,2026-06-02T19:16:55.377Z,shilpasrivastava@okaxis,customer_1071@upi,1200,services,SUCCESS,REF455408
UPI24862654,2026-07-27T19:16:55.377Z,customer_3405@upi,rajeshreddy@okaxis,2500,auto_ancillary,SUCCESS,REF265667
UPI27416280,2026-04-24T19:16:55.377Z,customer_4209@upi,rameshyadav@okaxis,1200,food_processing,SUCCESS,REF178472
UPI18557870,2026-05-26T19:16:55.377Z,customer_6455@upi,sujatapatel@okaxis,5000,food_processing,SUCCESS,REF657712
UPI24676311,2026-05-04T19:16:55.377Z,snehamishra@okaxis,customer_4782@upi,8500,pharma_distribution,SUCCESS,REF933942
UPI68827160,2026-08-03T19:16:55.377Z,customer_5496@upi,rahulchauhan@okaxis,500,auto_ancillary,SUCCESS,REF704386
UPI70732638,2026-06-23T19:16:55.377Z,sanjaychauhan@okaxis,customer_7568@upi,48000,retail,SUCCESS,REF632932
UPI76781635,2026-03-21T19:16:55.377Z,anilchopra@okaxis,customer_7639@upi,5000,food_processing,SUCCESS,REF750135
UPI10029706,2026-03-03T19:16:55.377Z,customer_2012@upi,madhavsingh@okaxis,15000,textile,SUCCESS,REF353217
UPI20199074,2026-03-13T19:16:55.377Z,prashantjha@okaxis,customer_3661@upi,25000,manufacturing,SUCCESS,REF306068
UPI83678626,2026-04-02T19:16:55.377Z,customer_2224@upi,umeshswaminathan@okaxis,48000,plastics_packaging,SUCCESS,REF539243
